rxn_id	startingmat_1_smiles	startingmat_2_smiles	product_1_smiles	cluster
L6755	Clc1ccc(/C=C/c2cnco2)cc1	NCc1ccc(F)cc1	Fc1ccc(CNc2ccc(/C=C/c3cnco3)cc2)cc1	119
L6505	Clc1ccccn1	NNC(=O)c1ccccc1	O=C(NNc1ccccn1)c1ccccc1	120
L6047	COC(=O)c1ccc(-c2ccnc(Cl)n2)cc1	C[C@H](Nc1cc(N)ccn1)c1ccccc1	COC(=O)c1ccc(-c2ccnc(Nc3ccnc(N[C@@H](C)c4ccccc4)c3)n2)cc1	121
L5409	Cc1ccccc1Cl	CCN	CCNc1ccccc1C	122
L4002	Fc1ccc(-c2nn3c(Cl)cccc3c2-c2ccnc(NC3CCCC3)n2)cc1	COc1ccc(N)cc1	COc1ccc(Nc2cccc3c(-c4ccnc(NC5CCCC5)n4)c(-c4ccc(F)cc4)nn23)cc1	123
L3861	Cc1cccc(C)c1Br	N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1	Cc1cccc(C)c1N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1	124
L8327	Brc1ccccn1	CCCN	CCCNc1ccccn1	125
L12334	COC(=O)c1cc(-c2nc(Cl)ncc2Cl)cs1	Cn1nccc1N	COC(=O)c1cc(-c2nc(Nc3ccnn3C)ncc2Cl)cs1	126
L11939	Cn1cc(-c2nc(Cl)ncc2F)cn1	Cn1cc(N)cn1	Cn1cc(Nc2ncc(F)c(-c3cnn(C)c3)n2)cn1	127
L11635	Brc1ccccc1	CC(N)C(=O)O	CC(Nc1ccccc1)C(=O)O	128
L9626	O=c1ccc2ccc(Oc3nc(Cl)nc4ccsc34)cc2[nH]1	CN1CCN(c2ccc(N)nc2)CC1	CN1CCN(c2ccc(Nc3nc(Oc4ccc5ccc(=O)[nH]c5c4)c4sccc4n3)nc2)CC1	129
L9381	Cc1ccc(Cl)cc1	CCC(C)N	CCC(C)Nc1ccc(C)cc1	130
L8532	COC(=O)c1ccnc(C(=O)OC)c1Br	Nc1ccccc1	COC(=O)c1ccnc(C(=O)OC)c1Nc1ccccc1	131
L8441	Cc1cccnc1Cl	NCc1ccccc1	Cc1cccnc1NCc1ccccc1	132
L8008	Clc1cc(-c2ccccc2)nc2ccoc12	Nc1ccccc1	c1ccc(Nc2cc(-c3ccccc3)nc3ccoc23)cc1	133
L7882	CCCCc1nc2c(NC(C)(C)CC(C)(C)C)nc(Cl)cc2n1Cc1ccccc1	CCCCN	CCCCNc1cc2c(nc(CCCC)n2Cc2ccccc2)c(NC(C)(C)CC(C)(C)C)n1	134
L7546	CNc1cc(Cl)ncc1-c1cnn(C)c1	C[C@H](CN(C)C)Oc1nc(N)cnc1C#N	CNc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1-c1cnn(C)c1	135
L6921	FC(F)(F)c1ccc2c(Br)cc(C(F)(F)F)nc2c1	Nc1ccc(C(F)(F)F)cn1	FC(F)(F)c1ccc(Nc2cc(C(F)(F)F)nc3cc(C(F)(F)F)ccc23)nc1	136
L2260	CC(C)n1cnnc1-c1cccc(Br)n1	NC(=O)c1cc2c(cc1F)CCCC(=O)N2	CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCCC(=O)N3)n1	137
L1727	Brc1ccccn1	NCC1(N2CCN(Cc3ccccc3)CC2)CC1	c1ccc(CN2CCN(C3(CNc4ccccn4)CC3)CC2)cc1	138
L1218	CCOC(=O)CC(C)(C)C#Cc1c(C)cc(Br)cc1OC	CC(C)(C)[Si](C)(C)OCCN	CCOC(=O)CC(C)(C)C#Cc1c(C)cc(NCCO[Si](C)(C)C(C)(C)C)cc1OC	139
L12814	Brc1ccccn1	Cc1cccc(N)c1	Cc1cccc(Nc2ccccn2)c1	140
L12874	Clc1ccccc1	CC(N)c1ccccc1	CC(Nc1ccccc1)c1ccccc1	141
L11971	Clc1ccc2cccc(Cl)c2n1	Nc1ccc(C(F)(F)F)c(C(F)(F)F)c1	FC(F)(F)c1ccc(Nc2ccc3cccc(Cl)c3n2)cc1C(F)(F)F	142
L11337	Cc1cc(-c2ccc(F)cc2)nc(Cl)c1C#N	Nc1ccc([N+](=O)[O-])cc1	Cc1cc(-c2ccc(F)cc2)nc(Nc2ccc([N+](=O)[O-])cc2)c1C#N	143
L10096	FC(F)(F)c1cccnc1-c1ccc2c(Cl)ccnc2n1	Nc1ccc(C(F)(F)F)cn1	FC(F)(F)c1ccc(Nc2ccnc3nc(-c4ncccc4C(F)(F)F)ccc23)nc1	144
L7179	O=C(Nc1ccnc(Br)c1)c1c(Cl)cccc1Cl	CC1CC1C(N)=O	CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1	145
L7177	Clc1ccnc2ccccc12	CC(N)CC12CC3CC(CC(C3)C1)C2	CC(CC12CC3CC(CC(C3)C1)C2)Nc1ccnc2ccccc12	146
L5238	CCCCCCN(CCCCCC)c1ncc(Br)cn1	Nc1ccccc1	CCCCCCN(CCCCCC)c1ncc(Nc2ccccc2)cn1	147
L5053	Clc1nc2ccccc2c2[nH]c(C3CCCC3)nc12	Nc1ccc(Cl)c(Cl)c1	Clc1ccc(Nc2nc3ccccc3c3[nH]c(C4CCCC4)nc23)cc1Cl	148
L3761	Clc1ccccn1	NN=Cc1ccccc1	C(=NNc1ccccn1)c1ccccc1	149
L3069	Brc1ccc2ccccc2n1	Nc1ccccc1	c1ccc(Nc2ccc3ccccc3n2)cc1	150
L2537	COc1ccc(Cn2cnc3c(-c4ccc(OC)c(OC)c4)nc(Cl)nc32)cc1	Nc1cccc(NC(=O)N2CCCC2)c1	COc1ccc(Cn2cnc3c(-c4ccc(OC)c(OC)c4)nc(Nc4cccc(NC(=O)N5CCCC5)c4)nc32)cc1	151
L1568	CC(C)n1cc(-c2nc(Cl)ncc2F)cn1	CC(C)(C)OC(=O)N1CCN(c2ccc(N)cc2F)CC1	CC(C)n1cc(-c2nc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)c(F)c3)ncc2F)cn1	152
L625	Clc1ncnc2[nH]c(-c3ccccc3)nc12	NC(=O)c1ccccc1	O=C(Nc1ncnc2[nH]c(-c3ccccc3)nc12)c1ccccc1	153
L371	CCc1ccc2c(c1)S/C(=c1/s/c(=C\c3ccncc3Br)n(CC)c1=O)N2C	Nc1ccccc1F	CCc1ccc2c(c1)S/C(=c1/s/c(=C\c3ccncc3Nc3ccccc3F)n(CC)c1=O)N2C	154
L12625	FC(F)(F)c1cccc(Nc2nc(Cl)ncc2Cl)c1	Nc1ccc(-c2ccsc2)cc1	FC(F)(F)c1cccc(Nc2nc(Nc3ccc(-c4ccsc4)cc3)ncc2Cl)c1	155
L4806	COc1ccnc(Br)c1	COc1cccc(N)c1	COc1cccc(Nc2cc(OC)ccn2)c1	156
L12152	Brc1cccnc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(Nc3cccnc3)cc2)cc1	157
